Product category,Product subcategory,Product rating,Transaction number,Transaction date,Customer ID,Seller ID,Base Price,Discounts percentage,Service charge percentage,Product ID,Total amount per unit,Age,State code,Income annual,Occupation level,Income annual,Product score 1,Product score 2
C2,SC2,9,975229,10-05-2022,265758,928785,32.11,1.21,1.12,96,32.081101,,,,,,66.165,2.95
C2,SC2,1,268708,15-06-2022,598533,113357,17.97,0.17,1.19,99,18.153294,,,,,,28.955,0.15
C2,SC2,3,696757,09-04-2022,289082,702163,30.66,0.6,1.69,95,30.994194,43,7,,2,945859,51.99,0
C1,SC2,2,277371,06-03-2022,912988,672428,100.05,0.63,1.26,37,100.680315,,,,,,154.075,-1.15
C1,SC2,2,133559,28-04-2022,711463,730238,17.99,1.68,1.34,40,17.928834,,,,,,30.985,-6.4
C2,SC1,3,314099,29-03-2022,614921,495456,27.56,0.57,1.9,73,27.926548,,,,,,47.34,0.15
C1,SC1,9,485918,11-05-2022,644351,373981,30.77,0.62,1.23,10,30.957697,,,,,,64.155,5.9
C1,SC3,4,808732,19-05-2022,297767,800480,19.41,0.22,1.4,68,19.639038,,,,,,37.115,2.9
C1,SC2,1,964451,14-05-2022,720480,791247,42.46,0.41,1.68,44,42.999242,,,,,,65.69,-1.05
C1,SC2,3,475823,19-08-2022,925126,569028,21.05,0.75,1.53,40,21.21419,,,,,,37.575,-0.75
C2,SC1,5,284083,27-05-2022,221428,435856,25.86,1.11,1.43,83,25.942752,,,,,,48.79,-0.55
C2,SC1,2,225058,05-04-2022,860357,800480,21.95,0.15,1.23,81,22.18706,,,,,,36.925,1.25
C3,SC2,2,282432,30-04-2022,311367,702163,44.78,2.26,1.43,170,44.408326,,,,,,71.17,-9.3
C4,,4,907941,24-03-2022,937840,194273,75.25,0.73,1.29,211,75.6714,,,,,,120.875,0.35
C1,SC1,3,931362,09-08-2022,265210,647438,31.91,0.74,1.55,22,32.168471,,,,,,53.865,-0.7
